NAME                                                          VERSION                               TYPE                       
adwaita-cursor-theme                                          44.0-1.fc38                           rpm                         
adwaita-icon-theme                                            44.0-1.fc38                           rpm                         
alsa-lib                                                      1.2.11-2.fc38                         rpm                         
alternatives                                                  1.26-1.fc38                           rpm                         
at-spi2-atk                                                   2.48.4-1.fc38                         rpm                         
at-spi2-core                                                  2.48.4-1.fc38                         rpm                         
atk                                                           2.48.4-1.fc38                         rpm                         
atkmm                                                         2.28.3-2.fc38                         rpm                         
audit-libs                                                    3.1.2-8.fc38                          rpm                         
authselect                                                    1.4.3-1.fc38                          rpm                         
authselect-libs                                               1.4.3-1.fc38                          rpm                         
avahi-libs                                                    0.8-22.fc38                           rpm                         
basesystem                                                    11-15.fc38                            rpm                         
bash                                                          5.2.26-1.fc38                         rpm                         
busybox                                                       1:1.36.0-2.fc38                       rpm                         
bzip2-libs                                                    1.0.8-13.fc38                         rpm                         
ca-certificates                                               2023.2.60_v7.0.306-1.0.fc38           rpm                         
cairo                                                         1.17.8-4.fc38                         rpm                         
cairo-gobject                                                 1.17.8-4.fc38                         rpm                         
cairomm                                                       1.14.5-1.fc38                         rpm                         
cdparanoia-libs                                               10.2-41.fc38                          rpm                         
colord-libs                                                   1.4.6-4.fc38                          rpm                         
container-selinux                                             2:2.231.0-1.fc38                      rpm                         
containerd                                                    1.6.19-1.fc38                         rpm                         
coreutils                                                     9.1-12.fc38                           rpm                         
coreutils-common                                              9.1-12.fc38                           rpm                         
cracklib                                                      2.9.11-1.fc38                         rpm                         
crypto-policies                                               20230301-1.gita12f7b2.fc38            rpm                         
cups-libs                                                     1:2.4.7-13.fc38                       rpm                         
curl                                                          8.0.1-7.fc38                          rpm                         
cyrus-sasl-lib                                                2.1.28-9.fc38                         rpm                         
dbus                                                          1:1.14.10-1.fc38                      rpm                         
dbus-broker                                                   33-1.fc38                             rpm                         
dbus-common                                                   1:1.14.10-1.fc38                      rpm                         
dbus-daemon                                                   1:1.14.10-1.fc38                      rpm                         
dbus-libs                                                     1:1.14.10-1.fc38                      rpm                         
dbus-tools                                                    1:1.14.10-1.fc38                      rpm                         
dbus-x11                                                      1:1.14.10-1.fc38                      rpm                         
device-mapper                                                 1.02.197-1.fc38                       rpm                         
device-mapper-libs                                            1.02.197-1.fc38                       rpm                         
diffutils                                                     3.10-1.fc38                           rpm                         
dnf                                                           4.19.2                                python                      
dnf                                                           4.19.2-1.fc38                         rpm                         
dnf-data                                                      4.19.2-1.fc38                         rpm                         
duktape                                                       2.7.0-2.fc38                          rpm                         
elfutils-default-yama-scope                                   0.191-1.fc38                          rpm                         
elfutils-libelf                                               0.191-1.fc38                          rpm                         
elfutils-libs                                                 0.191-1.fc38                          rpm                         
expat                                                         2.6.0-1.fc38                          rpm                         
fedora-gpg-keys                                               38-1                                  rpm                         
fedora-release-common                                         38-36                                 rpm                         
fedora-release-container                                      38-36                                 rpm                         
fedora-release-identity-container                             38-36                                 rpm                         
fedora-repos                                                  38-1                                  rpm                         
fedora-repos-modular                                          38-1                                  rpm                         
fftw-libs-single                                              3.3.10-10.fc38                        rpm                         
file-libs                                                     5.44-3.fc38                           rpm                         
filesystem                                                    3.18-3.fc38                           rpm                         
findutils                                                     1:4.9.0-3.fc38                        rpm                         
flac-libs                                                     1.4.3-1.fc38                          rpm                         
fontconfig                                                    2.14.2-2.fc38                         rpm                         
fonts-filesystem                                              1:2.0.5-11.fc38                       rpm                         
freetype                                                      2.13.0-2.fc38                         rpm                         
fribidi                                                       1.0.12-3.fc38                         rpm                         
fuse-libs                                                     2.9.9-16.fc38                         rpm                         
